lat,lon,lead_month,forecast_date,anom,init_year,init_month
9.5,-75.5,1,2026-09,2.8454,2026,8
9.5,-74.5,1,2026-09,3.9657,2026,8
9.5,-73.5,1,2026-09,3.9071,2026,8
9.5,-72.5,1,2026-09,1.7602,2026,8
9.5,-71.5,1,2026-09,0.922,2026,8
9.5,-70.5,1,2026-09,1.6657,2026,8
9.5,-69.5,1,2026-09,0.9855,2026,8
9.5,-68.5,1,2026-09,1.4318,2026,8
9.5,-67.5,1,2026-09,1.9374,2026,8
9.5,-66.5,1,2026-09,2.067,2026,8
9.5,-65.5,1,2026-09,1.9916,2026,8
9.5,-64.5,1,2026-09,2.0929,2026,8
9.5,-63.5,1,2026-09,1.4999,2026,8
9.5,-62.5,1,2026-09,1.0856,2026,8
9.5,-61.5,1,2026-09,0.8261,2026,8
9.5,-60.5,1,2026-09,0.6532,2026,8
9.5,-59.5,1,2026-09,0.6881,2026,8
9.5,-58.5,1,2026-09,0.7309,2026,8
9.5,-57.5,1,2026-09,0.745,2026,8
9.5,-56.5,1,2026-09,0.7282,2026,8
9.5,-55.5,1,2026-09,0.716,2026,8
9.5,-54.5,1,2026-09,0.6855,2026,8
9.5,-53.5,1,2026-09,0.6527,2026,8
9.5,-52.5,1,2026-09,0.6313,2026,8
9.5,-51.5,1,2026-09,0.6095,2026,8
9.5,-50.5,1,2026-09,0.5927,2026,8
9.5,-49.5,1,2026-09,0.588,2026,8
9.5,-48.5,1,2026-09,0.5983,2026,8
9.5,-47.5,1,2026-09,0.6017,2026,8
9.5,-46.5,1,2026-09,0.6029,2026,8
9.5,-45.5,1,2026-09,0.6073,2026,8
9.5,-44.5,1,2026-09,0.6093,2026,8
9.5,-43.5,1,2026-09,0.6054,2026,8
9.5,-42.5,1,2026-09,0.6149,2026,8
9.5,-41.5,1,2026-09,0.6227,2026,8
9.5,-40.5,1,2026-09,0.6388,2026,8
9.5,-39.5,1,2026-09,0.6549,2026,8
9.5,-38.5,1,2026-09,0.6615,2026,8
9.5,-37.5,1,2026-09,0.6615,2026,8
9.5,-36.5,1,2026-09,0.653,2026,8
9.5,-35.5,1,2026-09,0.6347,2026,8
9.5,-34.5,1,2026-09,0.631,2026,8
9.5,-33.5,1,2026-09,0.6461,2026,8
9.5,-32.5,1,2026-09,0.6571,2026,8
9.5,-31.5,1,2026-09,0.6547,2026,8
9.5,-30.5,1,2026-09,0.6547,2026,8
8.5,-89.5,1,2026-09,1.7336,2026,8
8.5,-88.5,1,2026-09,1.8105,2026,8
8.5,-87.5,1,2026-09,1.8588,2026,8
8.5,-86.5,1,2026-09,1.8805,2026,8
8.5,-85.5,1,2026-09,1.8554,2026,8
8.5,-84.5,1,2026-09,1.8124,2026,8
8.5,-83.5,1,2026-09,1.7941,2026,8
8.5,-82.5,1,2026-09,1.7145,2026,8
8.5,-81.5,1,2026-09,1.4862,2026,8
8.5,-80.5,1,2026-09,1.5827,2026,8
8.5,-79.5,1,2026-09,1.769,2026,8
8.5,-78.5,1,2026-09,1.8441,2026,8
8.5,-77.5,1,2026-09,1.7887,2026,8
8.5,-76.5,1,2026-09,2.0126,2026,8
8.5,-75.5,1,2026-09,2.33,2026,8
8.5,-74.5,1,2026-09,2.7065,2026,8
8.5,-73.5,1,2026-09,3.0077,2026,8
8.5,-72.5,1,2026-09,1.2084,2026,8
8.5,-71.5,1,2026-09,1.4552,2026,8
8.5,-70.5,1,2026-09,0.8327,2026,8
8.5,-69.5,1,2026-09,1.11,2026,8
8.5,-68.5,1,2026-09,1.3222,2026,8
8.5,-67.5,1,2026-09,1.7201,2026,8
8.5,-66.5,1,2026-09,2.0346,2026,8
8.5,-65.5,1,2026-09,2.2089,2026,8
8.5,-64.5,1,2026-09,2.3568,2026,8
8.5,-63.5,1,2026-09,1.6425,2026,8
8.5,-62.5,1,2026-09,1.1701,2026,8
8.5,-61.5,1,2026-09,0.8651,2026,8
8.5,-60.5,1,2026-09,0.8232,2026,8
8.5,-59.5,1,2026-09,0.7687,2026,8
8.5,-58.5,1,2026-09,0.7421,2026,8
8.5,-57.5,1,2026-09,0.7987,2026,8
8.5,-56.5,1,2026-09,0.7958,2026,8
8.5,-55.5,1,2026-09,0.756,2026,8
8.5,-54.5,1,2026-09,0.7086,2026,8
