year,month,pdo,date
1978,7,-1.24,1978-07-01
1978,8,-0.56,1978-08-01
1978,9,-0.44,1978-09-01
1978,10,0.1,1978-10-01
1978,11,-0.07,1978-11-01
1978,12,-0.43,1978-12-01
1979,1,-0.58,1979-01-01
1979,2,-1.33,1979-02-01
1979,3,0.3,1979-03-01
1979,4,0.89,1979-04-01
1979,5,1.09,1979-05-01
1979,6,0.17,1979-06-01
1979,7,0.84,1979-07-01
1979,8,0.52,1979-08-01
1979,9,1.0,1979-09-01
1979,10,1.06,1979-10-01
1979,11,0.48,1979-11-01
1979,12,-0.42,1979-12-01
1980,1,-0.11,1980-01-01
1980,2,1.32,1980-02-01
1980,3,1.09,1980-03-01
1980,4,1.49,1980-04-01
1980,5,1.2,1980-05-01
1980,6,-0.22,1980-06-01
1980,7,0.23,1980-07-01
1980,8,0.51,1980-08-01
1980,9,0.1,1980-09-01
1980,10,1.35,1980-10-01
1980,11,0.37,1980-11-01
1980,12,-0.1,1980-12-01
1981,1,0.59,1981-01-01
1981,2,1.46,1981-02-01
1981,3,0.99,1981-03-01
1981,4,1.45,1981-04-01
1981,5,1.75,1981-05-01
1981,6,1.69,1981-06-01
1981,7,0.84,1981-07-01
1981,8,0.18,1981-08-01
1981,9,0.42,1981-09-01
1981,10,0.18,1981-10-01
1981,11,0.8,1981-11-01
1981,12,0.67,1981-12-01
1982,1,0.34,1982-01-01
1982,2,0.2,1982-02-01
1982,3,0.19,1982-03-01
1982,4,-0.19,1982-04-01
1982,5,-0.58,1982-05-01
1982,6,-0.78,1982-06-01
1982,7,0.58,1982-07-01
1982,8,0.39,1982-08-01
1982,9,0.84,1982-09-01
1982,10,0.37,1982-10-01
1982,11,-0.25,1982-11-01
1982,12,0.26,1982-12-01
1983,1,0.56,1983-01-01
1983,2,1.14,1983-02-01
1983,3,2.11,1983-03-01
1983,4,1.87,1983-04-01
1983,5,1.8,1983-05-01
1983,6,2.36,1983-06-01
1983,7,3.51,1983-07-01
1983,8,1.85,1983-08-01
1983,9,0.91,1983-09-01
1983,10,0.96,1983-10-01
1983,11,1.02,1983-11-01
1983,12,1.69,1983-12-01
1984,1,1.5,1984-01-01
1984,2,1.21,1984-02-01
1984,3,1.77,1984-03-01
