year,season,oni
1990,JJA,0.33
1990,JAS,0.38
1990,ASO,0.39
1990,SON,0.35
1990,OND,0.4
1990,NDJ,0.41
1991,DJF,0.41
1991,JFM,0.26
1991,FMA,0.22
1991,MAM,0.26
1991,AMJ,0.45
1991,MJJ,0.64
1991,JJA,0.73
1991,JAS,0.64
1991,ASO,0.62
1991,SON,0.79
1991,OND,1.21
1991,NDJ,1.53
1992,DJF,1.71
1992,JFM,1.63
1992,FMA,1.48
1992,MAM,1.29
1992,AMJ,1.06
1992,MJJ,0.73
1992,JJA,0.37
1992,JAS,0.09
1992,ASO,-0.13
1992,SON,-0.25
1992,OND,-0.28
1992,NDJ,-0.13
1993,DJF,0.09
1993,JFM,0.3
1993,FMA,0.5
1993,MAM,0.67
1993,AMJ,0.7
1993,MJJ,0.57
1993,JJA,0.32
1993,JAS,0.25
1993,ASO,0.15
1993,SON,0.1
1993,OND,0.04
1993,NDJ,0.06
1994,DJF,0.06
1994,JFM,0.07
1994,FMA,0.17
1994,MAM,0.31
1994,AMJ,0.42
1994,MJJ,0.41
1994,JJA,0.44
1994,JAS,0.43
1994,ASO,0.55
1994,SON,0.74
1994,OND,1.01
1994,NDJ,1.09
1995,DJF,0.96
1995,JFM,0.72
1995,FMA,0.53
1995,MAM,0.3
1995,AMJ,0.14
1995,MJJ,-0.03
1995,JJA,-0.24
1995,JAS,-0.54
1995,ASO,-0.81
1995,SON,-0.97
1995,OND,-1.0
1995,NDJ,-0.98
1996,DJF,-0.9
1996,JFM,-0.75
1996,FMA,-0.59
1996,MAM,-0.39
1996,AMJ,-0.31
1996,MJJ,-0.3
1996,JJA,-0.27
1996,JAS,-0.32
1996,ASO,-0.35
1996,SON,-0.4
1996,OND,-0.45
1996,NDJ,-0.49
1997,DJF,-0.5
1997,JFM,-0.36
1997,FMA,-0.1
1997,MAM,0.28
1997,AMJ,0.75
1997,MJJ,1.22
1997,JJA,1.6
1997,JAS,1.9
1997,ASO,2.14
1997,SON,2.33
1997,OND,2.4
1997,NDJ,2.39
1998,DJF,2.24
1998,JFM,1.93
1998,FMA,1.44
1998,MAM,0.99
1998,AMJ,0.45
1998,MJJ,-0.13
1998,JJA,-0.78
1998,JAS,-1.12
1998,ASO,-1.31
1998,SON,-1.35
1998,OND,-1.48
1998,NDJ,-1.57
1999,DJF,-1.55
1999,JFM,-1.3
1999,FMA,-1.07
1999,MAM,-0.98
1999,AMJ,-1.02
1999,MJJ,-1.04
1999,JJA,-1.1
1999,JAS,-1.11
1999,ASO,-1.16
1999,SON,-1.26
1999,OND,-1.46
1999,NDJ,-1.65
2000,DJF,-1.66
2000,JFM,-1.41
2000,FMA,-1.07
2000,MAM,-0.81
2000,AMJ,-0.71
2000,MJJ,-0.64
2000,JJA,-0.55
2000,JAS,-0.51
2000,ASO,-0.55
2000,SON,-0.63
2000,OND,-0.75
2000,NDJ,-0.74
2001,DJF,-0.68
2001,JFM,-0.52
2001,FMA,-0.44
2001,MAM,-0.34
2001,AMJ,-0.25
2001,MJJ,-0.12
2001,JJA,-0.08
2001,JAS,-0.13
2001,ASO,-0.19
2001,SON,-0.29
2001,OND,-0.35
2001,NDJ,-0.31
2002,DJF,-0.15
2002,JFM,0.03
2002,FMA,0.09
2002,MAM,0.2
2002,AMJ,0.43
2002,MJJ,0.65
2002,JJA,0.79
2002,JAS,0.86
2002,ASO,1.01
2002,SON,1.21
2002,OND,1.31
2002,NDJ,1.14
2003,DJF,0.92
2003,JFM,0.63
2003,FMA,0.38
2003,MAM,-0.04
2003,AMJ,-0.26
2003,MJJ,-0.16
2003,JJA,0.08
2003,JAS,0.21
2003,ASO,0.26
2003,SON,0.29
2003,OND,0.35
2003,NDJ,0.35
2004,DJF,0.37
2004,JFM,0.31
2004,FMA,0.23
2004,MAM,0.17
2004,AMJ,0.17
2004,MJJ,0.28
2004,JJA,0.47
2004,JAS,0.64
2004,ASO,0.7
2004,SON,0.67
2004,OND,0.66
2004,NDJ,0.69
2005,DJF,0.64
2005,JFM,0.58
2005,FMA,0.45
2005,MAM,0.43
2005,AMJ,0.29
2005,MJJ,0.11
2005,JJA,-0.06
2005,JAS,-0.14
2005,ASO,-0.11
2005,SON,-0.29
2005,OND,-0.57
2005,NDJ,-0.84
2006,DJF,-0.85
2006,JFM,-0.77
2006,FMA,-0.57
2006,MAM,-0.37
2006,AMJ,-0.14
2006,MJJ,-0.03
2006,JJA,0.1
2006,JAS,0.3
2006,ASO,0.54
2006,SON,0.77
2006,OND,0.94
2006,NDJ,0.94
2007,DJF,0.66
2007,JFM,0.22
2007,FMA,-0.12
2007,MAM,-0.32
2007,AMJ,-0.38
2007,MJJ,-0.47
2007,JJA,-0.56
2007,JAS,-0.81
2007,ASO,-1.07
2007,SON,-1.34
2007,OND,-1.5
2007,NDJ,-1.6
2008,DJF,-1.64
2008,JFM,-1.52
2008,FMA,-1.29
2008,MAM,-1.01
2008,AMJ,-0.84
2008,MJJ,-0.61
2008,JJA,-0.37
2008,JAS,-0.23
2008,ASO,-0.24
2008,SON,-0.35
2008,OND,-0.55
2008,NDJ,-0.73
2009,DJF,-0.85
2009,JFM,-0.79
2009,FMA,-0.61
2009,MAM,-0.33
2009,AMJ,0.01
2009,MJJ,0.28
2009,JJA,0.45
2009,JAS,0.58
2009,ASO,0.71
2009,SON,1.01
2009,OND,1.36
2009,NDJ,1.56
2010,DJF,1.5
2010,JFM,1.22
2010,FMA,0.84
2010,MAM,0.35
2010,AMJ,-0.17
2010,MJJ,-0.66
2010,JJA,-1.05
2010,JAS,-1.35
2010,ASO,-1.56
2010,SON,-1.64
2010,OND,-1.64
2010,NDJ,-1.54
2011,DJF,-1.31
2011,JFM,-1.04
2011,FMA,-0.8
2011,MAM,-0.62
2011,AMJ,-0.46
2011,MJJ,-0.37
2011,JJA,-0.43
2011,JAS,-0.58
2011,ASO,-0.79
2011,SON,-0.96
2011,OND,-1.02
2011,NDJ,-0.92
2012,DJF,-0.72
2012,JFM,-0.57
2012,FMA,-0.46
2012,MAM,-0.36
2012,AMJ,-0.17
2012,MJJ,0.06
2012,JJA,0.3
2012,JAS,0.41
2012,ASO,0.41
2012,SON,0.31
2012,OND,0.13
2012,NDJ,-0.1
2013,DJF,-0.29
2013,JFM,-0.29
2013,FMA,-0.21
2013,MAM,-0.19
2013,AMJ,-0.27
2013,MJJ,-0.34
2013,JJA,-0.35
2013,JAS,-0.28
2013,ASO,-0.21
2013,SON,-0.13
2013,OND,-0.1
2013,NDJ,-0.15
2014,DJF,-0.28
2014,JFM,-0.32
2014,FMA,-0.14
2014,MAM,0.15
2014,AMJ,0.31
2014,MJJ,0.23
2014,JJA,0.1
2014,JAS,0.11
2014,ASO,0.28
