lat,lon,sst,anom,date
-67.875,160.125,-1.8,-0.064,2026-06
-67.875,162.125,-1.8,-0.076,2026-06
-67.875,164.125,-1.8,-0.108,2026-06
-67.875,166.125,-1.8,-0.087,2026-06
-67.875,168.125,-1.8,-0.081,2026-06
-67.875,170.125,-1.792,-0.077,2026-06
-67.875,172.125,-1.787,-0.079,2026-06
-67.875,174.125,-1.785,-0.081,2026-06
-67.875,176.125,-1.791,-0.09,2026-06
-67.875,178.125,-1.784,-0.095,2026-06
-67.875,-179.875,-1.784,-0.098,2026-06
-67.875,-177.875,-1.792,-0.102,2026-06
-67.875,-175.875,-1.796,-0.104,2026-06
-67.875,-173.875,-1.79,-0.085,2026-06
-67.875,-171.875,-1.784,-0.077,2026-06
-67.875,-169.875,-1.795,-0.077,2026-06
-67.875,-167.875,-1.8,-0.076,2026-06
-67.875,-165.875,-1.8,-0.07,2026-06
-67.875,-163.875,-1.8,-0.071,2026-06
-67.875,-161.875,-1.796,-0.067,2026-06
-67.875,-159.875,-1.797,-0.069,2026-06
-67.875,-157.875,-1.795,-0.072,2026-06
-67.875,-155.875,-1.796,-0.074,2026-06
-67.875,-153.875,-1.795,-0.074,2026-06
-67.875,-151.875,-1.8,-0.084,2026-06
-67.875,-149.875,-1.797,-0.086,2026-06
-67.875,-147.875,-1.795,-0.089,2026-06
-67.875,-145.875,-1.788,-0.091,2026-06
-67.875,-143.875,-1.766,-0.089,2026-06
-67.875,-141.875,-1.769,-0.121,2026-06
-67.875,-139.875,-1.758,-0.114,2026-06
-67.875,-137.875,-1.764,-0.13,2026-06
-67.875,-135.875,-1.781,-0.149,2026-06
-67.875,-133.875,-1.787,-0.154,2026-06
-67.875,-131.875,-1.766,-0.133,2026-06
-67.875,-129.875,-1.745,-0.098,2026-06
-67.875,-127.875,-1.744,-0.099,2026-06
-67.875,-125.875,-1.769,-0.13,2026-06
-67.875,-123.875,-1.773,-0.143,2026-06
-67.875,-121.875,-1.775,-0.162,2026-06
-67.875,-119.875,-1.74,-0.123,2026-06
-67.875,-117.875,-1.66,-0.073,2026-06
-67.875,-115.875,-1.534,0.011,2026-06
-67.875,-113.875,-1.478,0.067,2026-06
-67.875,-111.875,-1.554,0.039,2026-06
-67.875,-109.875,-1.569,0.042,2026-06
-67.875,-107.875,-1.435,0.088,2026-06
-67.875,-105.875,-1.201,0.221,2026-06
-67.875,-103.875,-1.191,0.213,2026-06
-67.875,-101.875,-0.988,0.355,2026-06
-67.875,-99.875,-0.993,0.342,2026-06
-67.875,-97.875,-0.662,0.712,2026-06
-67.875,-95.875,-0.433,0.984,2026-06
-67.875,-93.875,-0.716,0.713,2026-06
-67.875,-91.875,-0.379,1.06,2026-06
-67.875,-89.875,-0.863,0.715,2026-06
-67.875,-87.875,-0.881,0.707,2026-06
-67.875,-85.875,-0.963,0.652,2026-06
-67.875,-83.875,-0.735,0.853,2026-06
-67.875,-81.875,-0.73,0.879,2026-06
-67.875,-79.875,-0.696,0.919,2026-06
-67.875,-77.875,-0.763,0.865,2026-06
-67.875,-75.875,-0.901,0.743,2026-06
-67.875,-73.875,-0.964,0.675,2026-06
-67.875,-71.875,-0.848,0.737,2026-06
-67.875,-69.875,-0.621,0.887,2026-06
-67.875,-67.875,-0.99,0.552,2026-06
-67.875,-63.875,-1.472,-0.06,2026-06
-67.875,-61.875,-1.693,-0.179,2026-06
-67.875,-59.875,-1.772,-0.014,2026-06
-67.875,-57.875,-1.787,-0.007,2026-06
-67.875,-55.875,-1.794,-0.028,2026-06
-67.875,-53.875,-1.8,-0.03,2026-06
-67.875,-51.875,-1.8,-0.03,2026-06
-67.875,-49.875,-1.8,-0.026,2026-06
-67.875,-47.875,-1.8,-0.031,2026-06
-67.875,-45.875,-1.797,-0.031,2026-06
-67.875,-43.875,-1.796,-0.03,2026-06
