year,month,nino12,date
1974,1,-1.35,1974-01-01
1974,2,-1.38,1974-02-01
1974,3,-0.84,1974-03-01
1974,4,-0.39,1974-04-01
1974,5,-0.2,1974-05-01
1974,6,-0.78,1974-06-01
1974,7,-0.58,1974-07-01
1974,8,-0.46,1974-08-01
1974,9,-0.63,1974-09-01
1974,10,-1.2,1974-10-01
1974,11,-1.0,1974-11-01
1974,12,-1.46,1974-12-01
1975,1,-1.15,1975-01-01
1975,2,-1.18,1975-02-01
1975,3,-0.33,1975-03-01
1975,4,-0.0,1975-04-01
1975,5,-0.96,1975-05-01
1975,6,-1.43,1975-06-01
1975,7,-0.93,1975-07-01
1975,8,-0.95,1975-08-01
1975,9,-1.57,1975-09-01
1975,10,-1.97,1975-10-01
1975,11,-2.25,1975-11-01
1975,12,-1.88,1975-12-01
1976,1,-1.12,1976-01-01
1976,2,-0.64,1976-02-01
1976,3,-0.53,1976-03-01
1976,4,0.17,1976-04-01
1976,5,0.7,1976-05-01
1976,6,1.37,1976-06-01
1976,7,1.61,1976-07-01
1976,8,1.25,1976-08-01
1976,9,0.83,1976-09-01
1976,10,0.51,1976-10-01
1976,11,0.49,1976-11-01
1976,12,0.39,1976-12-01
1977,1,0.23,1977-01-01
1977,2,-0.38,1977-02-01
1977,3,-0.46,1977-03-01
1977,4,-0.59,1977-04-01
1977,5,-0.92,1977-05-01
1977,6,-0.61,1977-06-01
1977,7,-0.5,1977-07-01
1977,8,-0.9,1977-08-01
1977,9,-1.11,1977-09-01
1977,10,-0.47,1977-10-01
1977,11,-0.47,1977-11-01
1977,12,-0.55,1977-12-01
1978,1,-0.41,1978-01-01
1978,2,-0.4,1978-02-01
1978,3,-1.21,1978-03-01
1978,4,-0.77,1978-04-01
1978,5,-1.25,1978-05-01
1978,6,-1.18,1978-06-01
1978,7,-0.94,1978-07-01
1978,8,-1.37,1978-08-01
1978,9,-0.88,1978-09-01
1978,10,-0.96,1978-10-01
1978,11,-0.04,1978-11-01
1978,12,0.09,1978-12-01
1979,1,0.16,1979-01-01
1979,2,-0.58,1979-02-01
1979,3,-0.58,1979-03-01
1979,4,0.15,1979-04-01
1979,5,-0.13,1979-05-01
1979,6,0.16,1979-06-01
1979,7,-0.26,1979-07-01
1979,8,-0.07,1979-08-01
1979,9,0.43,1979-09-01
1979,10,0.45,1979-10-01
1979,11,0.14,1979-11-01
1979,12,-0.08,1979-12-01
1980,1,-0.25,1980-01-01
1980,2,-0.42,1980-02-01
1980,3,-0.01,1980-03-01
1980,4,0.0,1980-04-01
1980,5,-0.43,1980-05-01
1980,6,-0.36,1980-06-01
1980,7,-0.84,1980-07-01
1980,8,-0.48,1980-08-01
1980,9,-0.3,1980-09-01
1980,10,-0.5,1980-10-01
1980,11,-0.41,1980-11-01
1980,12,-0.4,1980-12-01
1981,1,-1.5,1981-01-01
1981,2,-1.17,1981-02-01
1981,3,-0.55,1981-03-01
1981,4,-0.73,1981-04-01
1981,5,-0.77,1981-05-01
1981,6,-0.63,1981-06-01
1981,7,-0.89,1981-07-01
1981,8,-1.13,1981-08-01
1981,9,-0.79,1981-09-01
1981,10,-0.57,1981-10-01
1981,11,-0.46,1981-11-01
1981,12,-0.18,1981-12-01
1982,1,-0.26,1982-01-01
1982,2,-0.79,1982-02-01
1982,3,-1.29,1982-03-01
1982,4,-0.81,1982-04-01
1982,5,-0.31,1982-05-01
1982,6,0.13,1982-06-01
1982,7,0.47,1982-07-01
1982,8,0.8,1982-08-01
1982,9,1.31,1982-09-01
1982,10,1.81,1982-10-01
1982,11,3.03,1982-11-01
